[0216/141321.245:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0216/141343.231:ERROR:backend_impl.cc(1062)] Critical error found -8
[0216/141343.263:WARNING:storage_block-inl.h(131)] Failed data load.
[0216/143722.498:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143727.529:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143732.547:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143737.566:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143742.589:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143747.604:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143752.619:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143757.634:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143802.649:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143807.667:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143812.673:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143817.692:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143822.697:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143827.711:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143832.722:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143837.742:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143842.759:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143847.787:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143852.799:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143857.817:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143902.827:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143907.847:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143912.867:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143917.877:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143922.899:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143927.914:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143932.922:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143937.943:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143942.959:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143947.974:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143952.987:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/143958.013:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144003.027:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144008.042:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144013.057:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144018.072:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144023.092:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144028.106:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144033.122:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144038.137:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144059.753:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144139.102:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144144.111:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144149.127:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144154.154:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144159.167:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144204.177:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144209.193:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144214.211:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144219.220:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144224.235:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144229.251:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144234.260:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144239.266:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144244.281:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144249.293:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144254.315:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144259.325:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144304.332:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144309.339:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144314.351:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144319.374:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144324.391:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144329.408:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144334.423:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144339.434:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144344.455:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144349.476:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144354.500:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144359.518:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144404.535:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144409.546:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144414.560:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144419.577:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144424.601:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144429.615:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144434.632:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144439.644:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144444.658:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144449.686:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144454.693:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144459.711:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144504.724:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144509.747:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144514.771:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144519.791:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144524.813:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144529.823:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144534.831:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144539.838:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144544.849:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144549.862:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144554.871:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144559.886:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0216/144604.895:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
